,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,"[0, 1.0]","[1, 0.01731565274424804]","[2, 0.03609088732835022]","[3, 0.019239003397618082]","[4, 0.012452785414928193]","[5, 0.0020524839587359503]","[6, 0.025180187788338963]","[7, 0.006287889270879246]","[8, 0.022963412994963225]","[9, 0.01036941446967057]","[10, 0.018567049466049385]","[11, 0.021384909595593735]","[12, 0.011123893237941091]","[13, 0.010370071429856022]","[14, 0.015575611045229762]","[15, 0.008132981719032586]","[16, 0.010173259402210155]","[17, 0.11910230292882368]","[18, 0.00768310764040933]","[19, 0.005078639907624285]","[20, 0.02663480126074383]","[21, 0.0020406052817783134]","[22, 0.01133359318989641]","[23, 0.04356258840049333]","[24, 0.013839421044541493]","[25, 0.03285806950113739]","[26, 0.008925172036655223]","[27, 0.007056154104440015]","[28, 0.016318094914252377]","[29, 0.07534808426875543]","[30, 0.11866146249211565]","[31, 0.0055945372277678256]","[32, 0.015315158134305512]","[33, 0.011260303605863758]","[34, 0.002998748588467259]","[35, 0.012949991044612115]","[36, 0.003235133099066939]","[37, 0.019762122654668732]","[38, 0.008209576398192683]","[39, 0.0030533099430689876]","[40, 0.013733093247705478]","[41, 0.012163819405271186]","[42, 0.01501904680325955]","[43, 0.02114827141691877]","[44, 0.008764154140981827]","[45, 0.0074715708458473916]","[46, 0.015806321056394148]","[47, 0.03129639522360831]","[48, 0.04673976991275675]","[49, 0.010172583863402697]","[50, 0.008001096820173019]","[51, 0.008213009275594972]","[52, 0.026699439271292306]","[53, 0.004173856479842025]","[54, 0.01274973988254419]","[55, 0.0022872391247517163]","[56, 0.026646014844077078]","[57, 0.016466021370881732]","[58, 0.0030340949428279878]","[59, 0.009091021933283937]","[60, 0.024098712383978118]","[61, 0.029002962604080616]","[62, 0.03291848625121618]","[63, 0.008939336089109283]","[64, 0.042154877451938036]","[65, 0.02013433438501474]","[66, 0.006165472968842535]","[67, 0.012482338478412782]","[68, 0.013731333648391783]","[69, 0.005495949309845473]","[70, 0.01641580033069408]","[71, 0.03903027663471351]","[72, 0.027155392099603517]","[73, 0.0011580599140509071]","[74, 0.0007527971802943892]","[75, 0.0062545070210996674]","[76, 0.006866257139758847]","[77, 0.046366014306694875]","[78, 0.015581717881815099]","[79, 0.009272947274461013]","[80, 0.004287420682337024]","[81, 0.018913468681081732]","[82, 0.012617649917344924]","[83, 0.02997880113015564]","[84, 0.07258092297079106]","[85, 0.0009198989984937199]","[86, 0.011574141314187191]","[87, 0.00970300678819346]","[88, 0.00829778973998438]","[89, 0.021791385874859254]","[90, 0.04577994833498275]","[91, 0.009797193228943967]","[92, 0.008954011785277225]","[93, 0.013166174830103879]","[94, 0.03478612423126734]","[95, 0.0162515734255653]","[96, 0.0018001327330946244]","[97, 0.0022051666400251177]","[98, 0.008032093559997299]","[99, 0.015970391311448347]"
1,"[1, 1.0000000000000002]","[2, 0.024073681521609387]","[3, 0.013612080331098035]","[4, 0.0008332608822462819]","[5, 0.008114261494795626]","[6, 0.008911777173112099]","[7, 0.004862392328151163]","[8, 0.020451603760261845]","[9, 0.007633019669597772]","[10, 0.05079769226402836]","[11, 0.009072536878019602]","[12, 0.0050876735228609265]","[13, 0.018267110989007303]","[14, 0.023805554762481973]","[15, 0.0203449761653064]","[16, 0.005487415832679562]","[17, 0.03591297735081568]","[18, 0.0009739511974126897]","[19, 0.02496308930261306]","[20, 0.005090820904921229]","[21, 0.0014771760775875253]","[22, 0.011485514769419114]","[23, 0.015890003122870783]","[24, 0.010909715387712213]","[25, 0.04121902803049279]","[26, 0.004195243585915434]","[27, 0.011082722215608989]","[28, 0.004574332210092209]","[29, 0.006001949862229109]","[30, 0.011423020883674185]","[31, 0.0005793906425733561]","[32, 0.00593413584328361]","[33, 0.004712745989856596]","[34, 0.002170767525272153]","[35, 0.01944322212124389]","[36, 0.00477627801673043]","[37, 0.004110312165036463]","[38, 0.004956965827099828]","[39, 0.010319380380650318]","[40, 0.008289136512371838]","[41, 0.0028455020558636732]","[42, 0.010344858688347657]","[43, 0.009743649679315016]","[44, 0.0025855737397687114]","[45, 0.0030687530333536176]","[46, 0.005719332057663047]","[47, 0.042547391353852125]","[48, 0.006087212023375747]","[49, 0.009323291016125121]","[50, 0.04744656809483773]","[51, 0.015941903615943033]","[52, 0.05876354645592832]","[53, 0.003916591876457809]","[54, 0.009266916758104825]","[55, 0.009485079885727584]","[56, 0.016596056325214464]","[57, 0.0034215597694495113]","[58, 0.005878961862121156]","[59, 0.008776670612139858]","[60, 0.004051471752534814]","[61, 0.01050931903321235]","[62, 0.010599309913129736]","[63, 0.012702719073628566]","[64, 0.02140624086977493]","[65, 0.01578192765861829]","[66, 0.005698910758689902]","[67, 0.022917926679320726]","[68, 0.004540495019040115]","[69, 0.001639005527221012]","[70, 0.008080903541477258]","[71, 0.007217474290859449]","[72, 0.006677963492886128]","[73, 0.007463324149160582]","[74, 0.015433346727435992]","[75, 0.00823302859742339]","[76, 0.010101722507972614]","[77, 0.01604896629536333]","[78, 0.017479910564433647]","[79, 0.0035322848120345265]","[80, 0.0023632510570103906]","[81, 0.0250152646992593]","[82, 0.02453934754248376]","[83, 0.011299356799650306]","[84, 0.0014944302144517753]","[85, 0.0006659067319415421]","[86, 0.008078051224805392]","[87, 0.009892805231975098]","[88, 0.03112976337696302]","[89, 0.005448179580688912]","[90, 0.01209372980656279]","[91, 0.01997203009973215]","[92, 0.015648372116323393]","[93, 0.016808545836163466]","[94, 0.046489183802929004]","[95, 0.017020906640816836]","[96, 0.008993889763010798]","[97, 0.00884858309660913]","[98, 0.01481086646217346]","[99, 0.004928623785462121]",
2,"[2, 1.0]","[3, 0.027619692953888393]","[4, 0.048458956367715834]","[5, 0.008791471214040114]","[6, 0.04279960451343645]","[7, 0.02856159362885626]","[8, 0.008795901425477839]","[9, 0.01652016015516788]","[10, 0.038446655655595796]","[11, 0.03396457112880404]","[12, 0.0026641423683512974]","[13, 0.010990917968126658]","[14, 0.02251793481425149]","[15, 0.014774772753302235]","[16, 0.023439956462451172]","[17, 0.04123472581951998]","[18, 0.01386957793252717]","[19, 0.019958944331144653]","[20, 0.024332748403117523]","[21, 0.01128472704205072]","[22, 0.024037872959110036]","[23, 0.026094674352897963]","[24, 0.011770965419263636]","[25, 0.02374666829028753]","[26, 0.023055402104405202]","[27, 0.002569481509737466]","[28, 0.028379842676436163]","[29, 0.011263394741313461]","[30, 0.023083232973699852]","[31, 0.012695022212527052]","[32, 0.009003746622120749]","[33, 0.012812424729754768]","[34, 0.003441562200886882]","[35, 0.04302343957522782]","[36, 0.01641495104529276]","[37, 0.033372208328791154]","[38, 0.013994928205372195]","[39, 0.04176329179142018]","[40, 0.009319424219383268]","[41, 0.018563924185563664]","[42, 0.008858583657232005]","[43, 0.024331943297258712]","[44, 0.008771447419758174]","[45, 0.043802602821332304]","[46, 0.013016200981890932]","[47, 0.03977295873643594]","[48, 0.030970528408729197]","[49, 0.021508164304842883]","[50, 0.031855234466663176]","[51, 0.01324928372781732]","[52, 0.01713829206473533]","[53, 0.027792087009119552]","[54, 0.019787670329992096]","[55, 0.029331195817760766]","[56, 0.017662227654552116]","[57, 0.0017764143510173318]","[58, 0.0033635167473401555]","[59, 0.015003735920409685]","[60, 0.011741840145862117]","[61, 0.017073329582217377]","[62, 0.011719160966706598]","[63, 0.004907095893132707]","[64, 0.007048841718903797]","[65, 0.02691825655607842]","[66, 0.0026272916048381955]","[67, 0.020474259825965437]","[68, 0.0234642750973238]","[69, 0.013885943179815301]","[70, 0.02074133125164363]","[71, 0.043131140705653076]","[72, 0.03847109718622982]","[73, 0.02263319146306197]","[74, 0.01827135352537918]","[75, 0.009131642517328306]","[76, 0.013948509410340934]","[77, 0.021758617331312638]","[78, 0.05480181218402902]","[79, 0.010953070975197465]","[80, 0.0144699799870232]","[81, 0.021612023106238085]","[82, 0.01162945596420133]","[83, 0.023510396401445557]","[84, 0.00730655867185719]","[85, 0.0042526782770257]","[86, 0.020802860951419647]","[87, 0.014646947288335396]","[88, 0.01110075220814185]","[89, 0.01603584446802216]","[90, 0.024082451806107002]","[91, 0.0033735607489284924]","[92, 0.009810389769432057]","[93, 0.035294010012351384]","[94, 0.0049729323061526555]","[95, 0.028232891753347727]","[96, 0.003490835538058202]","[97, 0.0066778618516009705]","[98, 0.008216592078561125]","[99, 0.008322544403966094]",,
3,"[3, 1.0]","[4, 0.03352700559403019]","[5, 0.006668183013529608]","[6, 0.006499644833972663]","[7, 0.03635865951299153]","[8, 0.0018175012265261754]","[9, 0.004077440225053977]","[10, 0.011246928735028206]","[11, 0.0177724438568083]","[12, 0.020728205290644307]","[13, 0.014017958032451303]","[14, 0.006945581120546274]","[15, 0.012877246783703868]","[16, 0.007858831661748769]","[17, 0.020597861191840955]","[18, 0.01153482455094626]","[19, 0.012949071857299894]","[20, 0.009964356581030348]","[21, 0.0143176136730103]","[22, 0.031074575654385882]","[23, 0.009193182086905694]","[24, 0.01511099627566264]","[25, 0.03600493624162352]","[26, 0.00827124765451887]","[27, 0.0038212060892747666]","[28, 0.020489509787990707]","[29, 0.014647372943993205]","[30, 0.009243918922940499]","[31, 0.0029739091996713396]","[32, 0.008389206083587758]","[33, 0.009602542791467387]","[34, 0.040416064041202376]","[35, 0.02357730708632179]","[36, 0.02931250352397954]","[37, 0.01826566887840149]","[38, 0.01768537340848833]","[39, 0.01745792364672919]","[40, 0.015966717000864456]","[41, 0.010356501054658292]","[42, 0.01015126231463394]","[43, 0.014144965367877809]","[44, 0.018314622598108007]","[45, 0.02577529436997598]","[46, 0.0013711528590690505]","[47, 0.007024148318223089]","[48, 0.01899228286249252]","[49, 0.0029843632747544873]","[50, 0.011615715596815073]","[51, 0.0007721903021495342]","[52, 0.022240735281732982]","[53, 0.02234943774478039]","[54, 0.02840314049024097]","[55, 0.03274988204525357]","[56, 0.024156383447656603]","[57, 0.004956988270027256]","[58, 0.005497362712444402]","[59, 0.007548672332859276]","[60, 0.012062834474864156]","[61, 0.028405067800381593]","[62, 0.0071876844872976854]","[63, 0.026429191131643662]","[64, 0.028135634773504427]","[65, 0.019616795417290042]","[66, 0.015053094851841125]","[67, 0.009518798567570184]","[68, 0.013561576276811862]","[69, 0.013903598661010293]","[70, 0.012726058339153254]","[71, 0.020597204377517903]","[72, 0.019336664561854375]","[73, 0.008825398182531708]","[74, 0.015789136345120216]","[75, 0.032888263031027556]","[76, 0.01306699615734056]","[77, 0.008469621185881347]","[78, 0.009509114545889855]","[79, 0.01703759383864873]","[80, 0.011301443158952113]","[81, 0.009078171389537435]","[82, 0.031011700896128556]","[83, 0.04102996865411173]","[84, 0.014323486388211381]","[85, 0.012579335841423976]","[86, 0.004533263979040293]","[87, 0.01192012520467313]","[88, 0.006989836971898405]","[89, 0.014583934673623998]","[90, 0.01452259486242226]","[91, 0.008134299508821313]","[92, 0.008753814422291369]","[93, 0.02444289486913047]","[94, 0.011198442822920342]","[95, 0.006943808013015063]","[96, 0.005271358886727541]","[97, 0.010040015363928559]","[98, 0.019190120932226985]","[99, 0.04243678119401379]",,,
4,"[4, 1.0]","[5, 0.017424290675525644]","[6, 0.00571651872555788]","[7, 0.008064631638912322]","[8, 0.0015985150051362016]","[9, 0.008705080220766272]","[10, 0.012599346831257874]","[11, 0.027323169642842846]","[12, 0.000901347179419907]","[13, 0.04185850506799318]","[14, 0.012320609928564737]","[15, 0.010213421096990917]","[16, 0.004576407191170699]","[17, 0.010847632389685658]","[18, 0.007965956255743223]","[19, 0.015499692958462128]","[20, 0.026948210655710122]","[21, 0.0055986038047127935]","[22, 0.014631630242965711]","[23, 0.0033194641972220506]","[24, 0.009474586785381893]","[25, 0.0008349420496977885]","[26, 0.012663371603759946]","[27, 0.00158210389417899]","[28, 0.05736142712927172]","[29, 0.01421744672346169]","[30, 0.007914279015025663]","[31, 0.013567383931055402]","[32, 0.023706522533246305]","[33, 0.0138125949471211]","[34, 0.004143968739740732]","[35, 0.014578971267171897]","[36, 0.012406345178011058]","[37, 0.010183706910254735]","[38, 0.029099083571947574]","[39, 0.024819805273696868]","[40, 0.024379744815376095]","[41, 0.0075465370721594415]","[42, 0.007953181025945012]","[43, 0.007652033963812893]","[44, 0.0011801413944546857]","[45, 0.02495632861768802]","[46, 0.012407320501299042]","[47, 0.008978655399716208]","[48, 0.04443911666463569]","[49, 0.05534321939132349]","[50, 0.044580136752994236]","[51, 0.010309909289247415]","[52, 0.006226300248371477]","[53, 0.005079646694152963]","[54, 0.003589619019126361]","[55, 0.015976060877498695]","[56, 0.012706464575410229]","[57, 0.003960245609224693]","[58, 0.010584219584303268]","[59, 0.050468440837949456]","[60, 0.0012548924267397]","[61, 0.011618743469117803]","[62, 0.011601487336163029]","[63, 0.0013644608883357492]","[64, 0.0010609825873560794]","[65, 0.030278375947404023]","[66, 0.002066080375768902]","[67, 0.0030466398989574556]","[68, 0.018754243058494817]","[69, 0.0023588746203382417]","[70, 0.013883913857837129]","[71, 0.01781846961977662]","[72, 0.014634984179065627]","[73, 0.010159083605646524]","[74, 0.009925114035802216]","[75, 0.000921004447450343]","[76, 0.01520551404248368]","[77, 0.01628613904117641]","[78, 0.0008596177056619984]","[79, 0.03830144644789359]","[80, 0.023489001130401473]","[81, 0.035168714656082956]","[82, 0.005359009693417489]","[83, 0.01297663534385377]","[84, 0.022318071083484443]","[85, 0.005044645727805409]","[86, 0.014699672822796227]","[87, 0.009087003343948342]","[88, 0.024890427809168173]","[89, 0.010892493900049429]","[90, 0.0030082854870123283]","[91, 0.014513004649096946]","[92, 0.024392853316591113]","[93, 0.026102160994315334]","[94, 0.011860546386209394]","[95, 0.006866893649161322]","[96, 0.00029363766190014957]","[97, 0.006556532595745724]","[98, 0.0032940871986226355]","[99, 0.005169936083255867]",,,,
5,"[5, 1.0000000000000002]","[6, 0.006125401617906118]","[7, 0.009977020094326196]","[8, 0.002699864895313986]","[9, 0.01118294265429354]","[10, 0.004319558907623795]","[11, 0.022113971718383484]","[12, 0.00043549119054829387]","[13, 0.01888440104872933]","[14, 0.01126405649381602]","[15, 0.02783036322675283]","[16, 0.014795453127889914]","[17, 0.03206635169574972]","[18, 0.009216744508043872]","[19, 0.012152534568871687]","[20, 0.005496045356437398]","[21, 0.014263388446665009]","[22, 0.016231091987973525]","[23, 0.00603084426243735]","[24, 0.008990799447610486]","[25, 0.00830292282964348]","[26, 0.029238656310293015]","[27, 0.026862232714771644]","[28, 0.01919257910080047]","[29, 0.010184851703680971]","[30, 0.018670295288230394]","[31, 0.0015406265562419536]","[32, 0.01449732372271675]","[33, 0.013938969073375366]","[34, 0.015593068123542279]","[35, 0.0101485813612902]","[36, 0.009326975145466165]","[37, 0.0332088192714817]","[38, 0.01859059658311561]","[39, 0.02124332682536712]","[40, 0.010741031434758625]","[41, 0.003951741326207142]","[42, 0.006580169185601499]","[43, 0.007986865410151167]","[44, 0.006821258823923958]","[45, 0.012237903589820144]","[46, 0.0021503042585050113]","[47, 0.012874653016063359]","[48, 0.015788973693884698]","[49, 0.003119844270842461]","[50, 0.014342959494486907]","[51, 0.01504600177092505]","[52, 0.0023144135324132814]","[53, 0.017499939439418574]","[54, 0.008131630899199858]","[55, 0.010406070634826226]","[56, 0.019326850381596053]","[57, 0.008746143044554316]","[58, 0.0047583653522779166]","[59, 0.007659456969861718]","[60, 0.0006063086559860596]","[61, 0.008396307776921793]","[62, 0.009327059944844986]","[63, 0.0024329496879539805]","[64, 0.0032878996624880743]","[65, 0.01657070813353095]","[66, 0.0003377648191147772]","[67, 0.003631269116354743]","[68, 0.03450544785303362]","[69, 0.00038563110554519085]","[70, 0.037157205454812485]","[71, 0.059258984283605466]","[72, 0.011923786450141199]","[73, 0.005900282552632476]","[74, 0.0002723644045077898]","[75, 0.0004449887152013481]","[76, 0.01250578691440741]","[77, 0.005053019404962757]","[78, 0.03249846906079592]","[79, 0.019852822237891504]","[80, 0.025486663848034306]","[81, 0.02670713975111574]","[82, 0.004772603381304262]","[83, 0.016687085959086696]","[84, 0.007379875101324283]","[85, 0.004950819019531187]","[86, 0.015297231915031465]","[87, 0.008823514635345335]","[88, 0.008479079988402149]","[89, 0.002850167686328264]","[90, 0.002598858070045522]","[91, 0.01015598231236501]","[92, 0.011512960297224002]","[93, 0.010014728139601985]","[94, 0.009703184628098663]","[95, 0.013305029137507945]","[96, 0.012891588058146206]","[97, 0.008103771950820158]","[98, 0.0005385205628203152]","[99, 0.001086901165371471]",,,,,
6,"[6, 1.0]","[7, 0.0032395582613570684]","[8, 0.011809951954963661]","[9, 0.02534902778048795]","[10, 0.01838873518766994]","[11, 0.012553675676321614]","[12, 0.005116725614808759]","[13, 0.00031513151971253946]","[14, 0.013553574421130374]","[15, 0.019579142685522372]","[16, 0.006890844720859347]","[17, 0.02533902635426733]","[18, 0.015087609550196956]","[19, 0.02208190556462188]","[20, 0.004705996076789212]","[21, 0.009080535321030066]","[22, 0.0035720816849697827]","[23, 0.013264592898123893]","[24, 0.0016767565530442826]","[25, 0.0170716013791929]","[26, 0.0006642149909846953]","[27, 0.004934920901313315]","[28, 0.005157506522343149]","[29, 0.010985207254322662]","[30, 0.014098851075263511]","[31, 0.047992360959769366]","[32, 0.0059902145364833384]","[33, 0.007211083609806352]","[34, 0.003161506180089876]","[35, 0.011526149768897653]","[36, 0.008170866625010438]","[37, 0.009398890944133263]","[38, 0.0007485885221015413]","[39, 0.009267745273189546]","[40, 0.02470669378817738]","[41, 0.007176569814430395]","[42, 0.004550128314879326]","[43, 0.009714388982403056]","[44, 0.006077559722003961]","[45, 0.014784295602147234]","[46, 0.02578010971014698]","[47, 0.022531083719690398]","[48, 0.01461671160093029]","[49, 0.0027702490700105284]","[50, 0.04853708422313168]","[51, 0.005229593312921012]","[52, 0.01942291699188964]","[53, 0.05216415516381041]","[54, 0.01989130297774103]","[55, 0.0011351626247366273]","[56, 0.005701520720120921]","[57, 0.011638761490705704]","[58, 0.0031987709638683004]","[59, 0.005067087521819428]","[60, 0.003914278252144241]","[61, 0.006564037738231662]","[62, 0.01350474215972361]","[63, 0.014592994411899915]","[64, 0.029769318471700015]","[65, 0.0017396889012387272]","[66, 0.004186700809941698]","[67, 0.007645886686233319]","[68, 0.027720069988297926]","[69, 0.0045309034911264956]","[70, 0.01708980229579997]","[71, 0.025410982358654643]","[72, 0.016760552949497774]","[73, 0.01776221323059697]","[74, 0.005496905508587874]","[75, 0.00678794479872242]","[76, 0.009925548421703139]","[77, 0.003893094384858598]","[78, 0.01631188768143943]","[79, 0.014715021254297795]","[80, 0.004853981025251664]","[81, 0.012264160836910334]","[82, 0.015894647072868095]","[83, 0.016478468004851227]","[84, 0.0010245871207748586]","[85, 0.000969826673693534]","[86, 0.010374825837876949]","[87, 0.010186457072661744]","[88, 0.007374472187328482]","[89, 0.00526368987593816]","[90, 0.022035664791440576]","[91, 0.0027108960716487928]","[92, 0.002816740063281657]","[93, 0.0024901283714599373]","[94, 0.02343551607211561]","[95, 0.010081815326058162]","[96, 0.0004134096796356541]","[97, 0.008711042511228981]","[98, 0.014180782895239724]","[99, 0.009071280916001543]",,,,,,
7,"[7, 1.0]","[8, 0.0026798518910203842]","[9, 0.008697968063696737]","[10, 0.006512363251199962]","[11, 0.02203508231028372]","[12, 0.002097130089672049]","[13, 0.013369058174620384]","[14, 0.015456056373793811]","[15, 0.00416289046047937]","[16, 0.010952292552959498]","[17, 0.028753810759080897]","[18, 0.005068344290677772]","[19, 0.005933246313820243]","[20, 0.012617584819858911]","[21, 0.0047482709568704845]","[22, 0.013726155498088198]","[23, 0.022248341007370442]","[24, 0.13176739714479666]","[25, 0.023266538451628373]","[26, 0.00867959660757674]","[27, 0.007404601214234851]","[28, 0.008835054083198474]","[29, 0.0032095784166342777]","[30, 0.008771044348467377]","[31, 0.006382594343779136]","[32, 0.0035277827488289816]","[33, 0.0078137679726127]","[34, 0.0020143255888149525]","[35, 0.016327748805533723]","[36, 0.014074985756026472]","[37, 0.015233097592755375]","[38, 0.008966527490214546]","[39, 0.016651888580604766]","[40, 0.0051475040151303855]","[41, 0.009303879605033547]","[42, 0.046277242439695984]","[43, 0.005644477900252713]","[44, 0.007837123383354475]","[45, 0.008122737556002726]","[46, 0.005181586829365315]","[47, 0.009325987719057705]","[48, 0.0041040112374523]","[49, 0.010108207692286438]","[50, 0.012652318470813754]","[51, 0.011679653242221392]","[52, 0.007435588327244443]","[53, 0.006280064676933454]","[54, 0.006542348942794614]","[55, 0.025342508484209717]","[56, 0.030775074256118515]","[57, 0.0032529680892911866]","[58, 0.004525589257890236]","[59, 0.010278598335323784]","[60, 0.011414981439520846]","[61, 0.01084211701492692]","[62, 0.008371747252514503]","[63, 0.006600476085236892]","[64, 0.0003975400335645452]","[65, 0.01828438880565471]","[66, 0.0030681437581329624]","[67, 0.0041840368062225014]","[68, 0.013726958557102075]","[69, 0.006671307839364278]","[70, 0.012419717840627507]","[71, 0.007174241628691774]","[72, 0.020039065212906427]","[73, 0.006767121984030312]","[74, 0.012589922161597347]","[75, 0.016836850797113716]","[76, 0.01695288333265027]","[77, 0.012611973132843868]","[78, 0.013648477201164926]","[79, 0.0038169877372639708]","[80, 0.004428132394660502]","[81, 0.008293749245712545]","[82, 0.005935228776558788]","[83, 0.02547329995952148]","[84, 0.006034383128811733]","[85, 0.08711237437031187]","[86, 0.020874797776740592]","[87, 0.004957452171414076]","[88, 0.002519693481390914]","[89, 0.021441035658368007]","[90, 0.00702142762034045]","[91, 0.01839102918721138]","[92, 0.03686390782978296]","[93, 0.04101434447608481]","[94, 0.010312666590219502]","[95, 0.00906535732632179]","[96, 0.004017444005245832]","[97, 0.009656147387193144]","[98, 0.0028223477707923035]","[99, 0.020355376275511466]",,,,,,,
8,"[8, 1.0]","[9, 0.07282956413513733]","[10, 0.01692651839999633]","[11, 0.0014853186801317073]","[12, 0.006739801911162363]","[13, 0.01094057269219543]","[14, 0.028482043452069467]","[15, 0.007482761285713445]","[16, 0.010617772381658229]","[17, 0.014379785633084133]","[18, 0.018027199471942746]","[19, 0.022202116113264996]","[20, 0.002043826212237502]","[21, 0.0028337921238861]","[22, 0.01627276489898728]","[23, 0.014744028752425056]","[24, 0.010749391528300267]","[25, 0.045324570872639615]","[26, 0.0031927179202563033]","[27, 0.006500326932881606]","[28, 0.008396721271725758]","[29, 0.013611654537823873]","[30, 0.020926354008853898]","[31, 0.015837991290812325]","[32, 0.007890370213406866]","[33, 0.013624360429900081]","[34, 0.006509895067155738]","[35, 0.006136380053846602]","[36, 0.0038549652513847122]","[37, 0.007859051856574368]","[38, 0.002216504002242229]","[39, 0.008536331348342363]","[40, 0.004141489815433409]","[41, 0.008374073590963288]","[42, 0.00599347430784675]","[43, 0.032850825357791845]","[44, 0.002896805815402363]","[45, 0.002771342459113428]","[46, 0.004954822245110089]","[47, 0.02921928823209647]","[48, 0.017706002231984867]","[49, 0.005704252887192409]","[50, 0.020457416391529096]","[51, 0.016360220966796863]","[52, 0.035202069898485046]","[53, 0.002950398403778927]","[54, 0.00979917487557032]","[55, 0.0033611155215965706]","[56, 0.016558295297458583]","[57, 0.0017962979602243554]","[58, 0.008509093534659245]","[59, 0.008625160506575271]","[60, 0.005155926276028981]","[61, 0.036842977410149205]","[62, 0.007668479358821196]","[63, 0.015390997649637592]","[64, 0.014073441560765844]","[65, 0.0035822141572526126]","[66, 0.001296435843764664]","[67, 0.003061636971982683]","[68, 0.0016775768861799307]","[69, 0.005968151178637694]","[70, 0.00857964271610225]","[71, 0.007673850894026247]","[72, 0.01375030307924893]","[73, 0.013706999313357164]","[74, 0.001045410760939929]","[75, 0.0017079911459392549]","[76, 0.011361784168488497]","[77, 0.0027098446126385682]","[78, 0.036875203831951774]","[79, 0.006217064635445458]","[80, 0.009940946288390984]","[81, 0.031021506273756595]","[82, 0.011273619315575552]","[83, 0.027915701249886436]","[84, 0.0013495963541146096]","[85, 0.00127746534813949]","[86, 0.010126675576934419]","[87, 0.010699786068272259]","[88, 0.009909683105649244]","[89, 0.010838526577681184]","[90, 0.04999443567949137]","[91, 0.0006967984710049489]","[92, 0.011672338006843214]","[93, 0.025480877081371346]","[94, 0.026664981311118417]","[95, 0.006054531775324217]","[96, 0.005642497277491076]","[97, 0.0014415938800804867]","[98, 0.004579470031664892]","[99, 0.010734840369477715]",,,,,,,,
9,"[9, 1.0]","[10, 0.009250212521429092]","[11, 0.013154358456065676]","[12, 0.002674115318573396]","[13, 0.010638083993643637]","[14, 0.012468081595940698]","[15, 0.015878833520250157]","[16, 0.020909967548735506]","[17, 0.03708731040354807]","[18, 0.011304605427587752]","[19, 0.03159912757762639]","[20, 0.015947317815290615]","[21, 0.003238880530644025]","[22, 0.01454290584004773]","[23, 0.015716136038019458]","[24, 0.020583465019489187]","[25, 0.01593561984617806]","[26, 0.02109382452981191]","[27, 0.0025791001065127842]","[28, 0.012595528380133274]","[29, 0.012549131046321292]","[30, 0.0075601274572699405]","[31, 0.015141485703415064]","[32, 0.0031306201777149285]","[33, 0.010933698328399064]","[34, 0.0032613667004807107]","[35, 0.008889285749097923]","[36, 0.02370123511504348]","[37, 0.020360546232409595]","[38, 0.01764021231599664]","[39, 0.029451701996579056]","[40, 0.011775984996824251]","[41, 0.010841447350907831]","[42, 0.022836473968904772]","[43, 0.012210239569012722]","[44, 0.011176098528782366]","[45, 0.00586169647228978]","[46, 0.001965898440503576]","[47, 0.018220060626632055]","[48, 0.004886698256509272]","[49, 0.0022632460460587965]","[50, 0.026416709770808577]","[51, 0.012210186920976583]","[52, 0.009977109129852581]","[53, 0.019841796418520533]","[54, 0.01787267235669291]","[55, 0.004992260908717853]","[56, 0.016362752443131134]","[57, 0.0013610978478163665]","[58, 0.026148209540669393]","[59, 0.011219474468519262]","[60, 0.0020456894160834982]","[61, 0.014915695776248834]","[62, 0.0006251487785779219]","[63, 0.02768125291243124]","[64, 0.01902122124918521]","[65, 0.010439745592332064]","[66, 0.005769661200113618]","[67, 0.012456545310245419]","[68, 0.014382191757492736]","[69, 0.006220328277035907]","[70, 0.010127907599733395]","[71, 0.014155835191313514]","[72, 0.014735833484608812]","[73, 0.010904107470779526]","[74, 0.010211663839266426]","[75, 0.08025725586459499]","[76, 0.03245682347381302]","[77, 0.0065960038915151105]","[78, 0.034569568272736634]","[79, 0.01607853487568208]","[80, 0.01096729956116955]","[81, 0.00875913414729466]","[82, 0.017538135767835913]","[83, 0.013237727129321879]","[84, 0.008665691444816525]","[85, 0.006732765902550339]","[86, 0.02645963718052225]","[87, 0.01155624764592394]","[88, 0.006209252335264332]","[89, 0.004300344481065553]","[90, 0.0204312276074323]","[91, 0.008373622893064392]","[92, 0.024533292320966817]","[93, 0.0541587781232599]","[94, 0.019987139045936554]","[95, 0.005050371351697969]","[96, 0.006221595465702979]","[97, 0.0057765077499068165]","[98, 0.001816971941317916]","[99, 0.013479825560558219]",,,,,,,,,
